Gene stable ID,HGNC ID,HGNC symbol,Chromosome/scaffold name,Karyotype band,Gene start (bp),Gene end (bp)
ENSG00000210191,HGNC:7491,MT-TL2,MT,,12266,12336
ENSG00000198786,HGNC:7461,MT-ND5,MT,,12337,14148
ENSG00000198695,HGNC:7462,MT-ND6,MT,,14149,14673
ENSG00000210194,HGNC:7479,MT-TE,MT,,14674,14742
ENSG00000198727,HGNC:7427,MT-CYB,MT,,14747,15887
ENSG00000210195,HGNC:7499,MT-TT,MT,,15888,15953
ENSG00000210196,HGNC:7494,MT-TP,MT,,15956,16023
ENSG00000215601,HGNC:38725,TSPY24P,Y,p11.2,8280198,8282209
ENSG00000215603,HGNC:39553,ZNF92P1Y,Y,p11.2,7853686,7854876
ENSG00000231436,HGNC:23286,RBMY3AP,Y,p11.2,9610571,9621276
ENSG00000234795,HGNC:23971,RFTN1P1,Y,p11.2,7694707,7810305
ENSG00000225878,HGNC:23967,SERBP1P2,Y,p11.2,4801685,4802848
ENSG00000236435,HGNC:23904,TSPY12P,Y,p11.2,7687739,7689548
ENSG00000278478,,,Y,p11.2,10070131,10070409
ENSG00000258991,HGNC:37718,DUX4L19,Y,q11.21,11332329,11333595
ENSG00000237048,HGNC:18493,TTTY12,Y,p11.2,7803996,7810683
ENSG00000147761,HGNC:37463,TTTY7B,Y,p11.2,9706824,9715262
ENSG00000224518,,,Y,q11.221,14941746,14942715
ENSG00000231988,HGNC:23875,OFD1P3Y,Y,p11.2,9030594,9039988
ENSG00000238073,HGNC:23893,RBMY2HP,Y,p11.2,7671743,7676024
ENSG00000275866,,,Y,p11.2,8517364,8517748
ENSG00000131538,HGNC:16483,TTTY6,Y,q11.223,22439593,22441458
ENSG00000271595,HGNC:49176,ELOCP35,Y,q11.222,17464879,17465214
ENSG00000183704,HGNC:37492,SLC9B1P1,Y,q11.21,11340579,11385687
ENSG00000232927,HGNC:23195,USP12PY,Y,p11.2,3682805,3683868
ENSG00000239225,HGNC:18847,TTTY23,Y,p11.2,9910798,9911962
ENSG00000277438,HGNC:23976,KDM5DP1,Y,q11.223,20570222,20570519
ENSG00000147753,HGNC:18488,TTTY7,Y,p11.2,6449468,6457906
ENSG00000286217,HGNC:38724,LINC00279,Y,p11.2,8550518,8713825
ENSG00000259154,HGNC:37717,DUX4L17,Y,q11.21,11314921,11316187
ENSG00000169789,HGNC:14024,PRY,Y,q11.223,22490397,22514637
ENSG00000231874,HGNC:37725,TSPY18P,Y,p11.2,9869664,9870781
ENSG00000273589,,,Y,q11.223,22646031,22646327
ENSG00000226061,HGNC:38804,PCMTD1P1,Y,p11.2,10173853,10174207
ENSG00000273863,,,Y,p11.2,7905536,7907303
ENSG00000228571,HGNC:38791,HSFY7P,Y,q11.223,22537047,22537849
ENSG00000271375,,,Y,q11.21,11473727,11474237
ENSG00000224634,HGNC:38440,ZNF736P6Y,Y,p11.2,8350931,8352143
ENSG00000285470,HGNC:23963,TUSC2P1,Y,p11.2,5887504,5888740
ENSG00000226092,HGNC:9917,RBMY2AP,Y,q11.223,21927521,21937150
ENSG00000225516,HGNC:37467,FAM197Y5,Y,p11.2,9458613,9466003
ENSG00000212856,HGNC:37982,TTTY2B,Y,p11.2,6406244,6462091
ENSG00000228890,HGNC:18845,TTTY21,Y,p11.2,9717653,9721296
ENSG00000234620,HGNC:20200,PUDPP1,Y,q11.221,15348662,15456074
ENSG00000236690,,,Y,p11.2,7690511,7692678
ENSG00000273693,HGNC:38413,CDRT15P10,Y,q11.21,11085476,11086061
ENSG00000114374,HGNC:12633,USP9Y,Y,q11.221,12537650,12860839
ENSG00000232235,HGNC:23849,CDY3P,Y,p11.2,9166085,9167702
ENSG00000169807,HGNC:21504,PRY2,Y,q11.223,22071756,22096007
ENSG00000234110,HGNC:38726,TSPY25P,Y,p11.2,9624183,9626352
ENSG00000223422,,,Y,p11.2,7678899,7681028
ENSG00000231159,HGNC:23880,OFD1P8Y,Y,q11.223,21972313,22005349
ENSG00000225653,HGNC:38398,RNF19BPY,Y,p11.2,3777997,3779546
ENSG00000251618,,,Y,q11.223,21895394,21897559
ENSG00000229159,HGNC:38594,TSPY23P,Y,q11.223,22183850,22186021
ENSG00000234803,HGNC:18848,FAM197Y2,Y,p11.2,9517599,9526926
ENSG00000228578,HGNC:23981,TUBB1P2,Y,q11.222,17516836,17519038
ENSG00000231411,HGNC:51770,DUX4L31,Y,p11.2,10171590,10172725
ENSG00000187657,HGNC:23905,TSPY13P,Y,p11.2,9905595,9908139
ENSG00000275280,,,Y,p11.2,7656968,7657352
ENSG00000270242,HGNC:37724,ACTR3BP1,Y,q11.21,11395699,11397076
ENSG00000236477,HGNC:10412,RPS24P1,Y,q11.21,12244752,12245457
ENSG00000243040,HGNC:23891,RBMY2FP,Y,q11.223,22308859,22321825
ENSG00000129816,HGNC:37981,TTTY1B,Y,p11.2,6390431,6411564
ENSG00000237997,HGNC:38419,RCC2P2,Y,q11.223,19986575,19987852
ENSG00000244246,HGNC:38406,ZNF736P8Y,Y,p11.2,7913422,7914090
ENSG00000234950,HGNC:23894,RBMY2OP,Y,p11.2,9951553,9959423
ENSG00000198692,HGNC:3252,EIF1AY,Y,q11.223,20575776,20593154
ENSG00000234583,HGNC:37998,TSPY19P,Y,p11.2,6303957,6305074
ENSG00000183753,HGNC:13508,BPY2,Y,q11.223,22973819,23005465
ENSG00000225433,HGNC:42061,MTND1P12,Y,q11.21,11445418,11445564
ENSG00000227166,HGNC:11426,STSP1,Y,q11.221,15547216,15593331
ENSG00000228379,,,Y,p11.2,9813315,9817513
ENSG00000235857,HGNC:23940,CTBP2P1,Y,q12,56855244,56855488
ENSG00000223955,HGNC:38730,MTND6P1,Y,p11.2,8363536,8363959
ENSG00000237195,HGNC:23945,DLGAP5P1,Y,p11.2,6158802,6159265
ENSG00000237447,HGNC:38092,CDC27P2,Y,p11.2,10190377,10192298
ENSG00000185700,HGNC:37622,TTTY8B,Y,p11.2,6470773,6473630
ENSG00000270455,HGNC:37985,PABPC1P5,Y,q11.21,11335627,11337693
ENSG00000173357,,,Y,p11.2,8906224,8916073
ENSG00000229940,HGNC:38522,TSPY22P,Y,q11.223,22305925,22307951
ENSG00000234385,HGNC:37710,RCC2P1,Y,q11.21,11781052,11782527
ENSG00000226863,HGNC:631,SHROOM2P1,Y,q11.221,12537773,12544883
ENSG00000212855,HGNC:14023,TTTY2,Y,p11.2,9740584,9758476
ENSG00000237968,,,Y,q11.223,21940012,21941593
ENSG00000224408,HGNC:38758,USP9YP22,Y,p11.2,9183694,9185803
ENSG00000233699,HGNC:18842,TTTY18,Y,p11.2,8682594,8700977
ENSG00000286009,,,Y,q11.221,12661309,12663478
ENSG00000236718,HGNC:23895,RBMY2QP,Y,p11.2,9954532,10035299
ENSG00000271365,,,Y,q11.21,11107065,11107263
ENSG00000259029,HGNC:37716,DUX4L18,Y,q11.21,11321557,11322823
ENSG00000226223,HGNC:37712,TSPY16P,Y,p11.2,9640249,9640716
ENSG00000224657,HGNC:9918,RBMY2BP,Y,q11.223,22649245,22658878
ENSG00000235895,,,Y,p11.2,6492976,6496757
ENSG00000286201,,,Y,q11.221,16599730,16644539
ENSG00000223744,HGNC:23892,RBMY2GP,Y,p11.2,6328052,6343323
ENSG00000215537,HGNC:38426,ZNF736P11Y,Y,q11.223,22866544,22867756
ENSG00000230476,HGNC:23881,OFD1P9Y,Y,q11.223,22580989,22614081
ENSG00000225840,,,Y,p11.2,10197256,10199103
ENSG00000229745,HGNC:38794,BPY2DP,Y,p11.2,7932997,7937640
ENSG00000227204,HGNC:23918,RBMY2JP,Y,p11.2,8127130,8144203
ENSG00000275828,HGNC:37999,CHEK2P1,Y,q11.21,11412548,11418716
ENSG00000232617,,,Y,p11.2,9665229,9669010
ENSG00000225615,HGNC:23898,RBMY2UP,Y,q11.223,22198429,22203712
ENSG00000230663,HGNC:37737,FAM224B,Y,q11.222,17552800,17579754
ENSG00000232522,HGNC:38420,ZNF886P,Y,q11.223,20001185,20012204
ENSG00000234131,HGNC:38144,ELOCP8,Y,q11.223,22517242,22517573
ENSG00000277519,HGNC:18213,OFD1P16Y,Y,q11.223,21817579,21818218
ENSG00000259247,HGNC:38524,TTTY25P,Y,q11.223,22330452,22332500
ENSG00000224336,HGNC:37464,FAM197Y1,Y,p11.2,9544917,9547147
ENSG00000273731,,,Y,p11.2,8931069,8931454
ENSG00000236951,,,Y,q11.223,22100814,22147484
ENSG00000215583,HGNC:769,ASS1P6,Y,q11.21,11922536,11923769
ENSG00000274162,HGNC:38442,SNX18P1Y,Y,q11.21,11178306,11178816
ENSG00000229208,HGNC:23919,RBMY2NP,Y,p11.2,9831418,9846696
ENSG00000129845,HGNC:14022,TTTY1,Y,p11.2,9753156,9774289
ENSG00000227444,,,Y,q11.223,21918935,21921106
ENSG00000238154,HGNC:37740,USP9YP4,Y,p11.2,9189629,9204611
ENSG00000233774,HGNC:2371,MED14P1,Y,q11.221,12618983,12634402
ENSG00000232475,HGNC:38789,HSFY5P,Y,q11.223,22048554,22049347
ENSG00000228764,HGNC:38456,ZNF885P,Y,q11.223,20390051,20396796
ENSG00000232226,HGNC:722,ARSFP1,Y,q11.21,12252321,12258033
ENSG00000224567,,,Y,q11.21,11445708,11446101
ENSG00000241200,HGNC:38404,ZNF736P7Y,Y,p11.2,7990987,7991806
ENSG00000228518,HGNC:37722,SURF6P1,Y,q11.222,17192826,17193652
ENSG00000227447,HGNC:12807,XGY1,Y,q11.221,12440046,12507369
ENSG00000274231,,,Y,q11.21,11144250,11144492
ENSG00000286050,,,Y,p11.2,3786282,3864893
ENSG00000274502,HGNC:37714,ANKRD20A6P,Y,q11.21,11173618,11173821
ENSG00000235094,,,Y,p11.2,6306042,6308202
ENSG00000278854,,,Y,p11.2,7845485,7846454
ENSG00000183385,HGNC:18489,TTTY8,Y,p11.2,9691100,9693957
ENSG00000225809,HGNC:23888,RBMY2KP,Y,p11.2,8264449,8277188
ENSG00000237902,HGNC:38101,TSPY21P,Y,q11.223,22400403,22402568
ENSG00000232419,HGNC:18843,TTTY19,Y,p11.2,8704472,8705283
ENSG00000232620,HGNC:37713,TSPY17P,Y,p11.2,6520463,6520929
ENSG00000226906,HGNC:16481,TTTY4,Y,q11.223,22936455,22973284
ENSG00000230025,,,Y,p11.2,8971751,8974095
ENSG00000236786,HGNC:37474,TSPY15P,Y,p11.2,9548108,9550681
ENSG00000232924,HGNC:38141,ELOCP4,Y,p11.2,9230915,9231247
ENSG00000250204,HGNC:37983,TTTY23B,Y,p11.2,6242446,6245283
ENSG00000224075,HGNC:18846,TTTY22,Y,p11.2,9784372,9833895
ENSG00000238235,HGNC:23903,TSPY11P,Y,p11.2,6266593,6269275
ENSG00000274445,,,Y,p11.2,9868462,9868702
ENSG00000235649,HGNC:23932,MXRA5Y,Y,q11.21,11957208,11987386
ENSG00000258567,HGNC:37719,DUX4L16,Y,q11.21,11306918,11308181
ENSG00000236424,HGNC:37473,TSPY10,Y,p11.2,9527880,9530682
ENSG00000234179,HGNC:38729,MTCYBP1,Y,p11.2,8364032,8365150
ENSG00000271309,,,Y,q11.21,11107389,11107596
ENSG00000229553,HGNC:38753,USP9YP17,Y,q11.223,22049755,22058113
ENSG00000228240,HGNC:18841,TTTY17A,Y,q11.223,22851584,22852715
ENSG00000234652,HGNC:37709,AGPAT5P1,Y,p11.2,3293808,3294826
ENSG00000218410,,,Y,p11.2,3851224,3852869
ENSG00000243643,HGNC:38093,TSPY20P,Y,p11.2,10036195,10038375
ENSG00000224989,HGNC:23955,FAM41AY1,Y,q11.222,17500958,17515018
ENSG00000131548,HGNC:31887,TTTY6B,Y,q11.223,22144966,22146831
ENSG00000232029,HGNC:38151,ELOCP15,Y,q11.223,22068820,22069151
ENSG00000273858,,,Y,q11.21,11042722,11042943
ENSG00000274196,HGNC:37466,FAM197Y4,Y,p11.2,9479053,9486313
ENSG00000227830,HGNC:38409,TRIM60P3Y,Y,p11.2,8413037,8414054
ENSG00000226529,HGNC:38728,MTND1P1,Y,p11.2,8371663,8372030
ENSG00000229643,HGNC:38803,LINC00280,Y,p11.2,6357219,6369921
ENSG00000274837,,,Y,q11.223,19932130,19932500
ENSG00000216777,HGNC:23949,PRRC2CP1,Y,p11.2,3549652,3549810
ENSG00000225685,HGNC:23907,TSPY5P,Y,p11.2,10066554,10069151
ENSG00000216824,HGNC:38410,ZNF736P10Y,Y,p11.2,8418791,8419900
ENSG00000275352,,,Y,p11.2,6273579,6274065
ENSG00000276829,,,Y,q11.223,22861112,22861834
ENSG00000258992,HGNC:12381,TSPY1,Y,p11.2,9466955,9469749
ENSG00000228850,HGNC:23856,CDY12P,Y,q11.223,22064698,22065712
ENSG00000283076,,,Y,q11.222,17514502,17516715
ENSG00000234850,HGNC:38727,MTND2P3,Y,p11.2,8372241,8372710
ENSG00000224873,HGNC:23857,CDY13P,Y,q11.223,22520681,22521695
ENSG00000229234,HGNC:38750,RBMY1KP,Y,q11.223,22209331,22216580
ENSG00000180910,HGNC:18492,TTTY11,Y,p11.2,8783310,8817382
ENSG00000270570,,,Y,q11.21,11107719,11107887
ENSG00000237563,HGNC:37980,TTTY21B,Y,p11.2,6443434,6450685
ENSG00000223517,,,Y,q11.221,14276212,14277489
ENSG00000228207,,,Y,p11.2,8901203,8903276
ENSG00000224917,,,Y,q11.223,22670616,22672859
ENSG00000286187,,,Y,q11.223,21825441,21846721
ENSG00000225117,HGNC:718,ARSDP1,Y,q11.21,12354096,12387328
ENSG00000215560,HGNC:16482,TTTY5,Y,q11.223,22296798,22298876
ENSG00000228411,HGNC:23872,CDY4P,Y,q11.221,12801973,12803830
ENSG00000235059,,,Y,q11.223,22438940,22485592
ENSG00000244395,HGNC:23915,RBMY1D,Y,q11.223,21880076,21894526
ENSG00000230727,HGNC:23900,RBMY2WP,Y,q11.223,22762851,22769787
ENSG00000230814,HGNC:38760,USP9YP24,Y,q11.223,22528281,22536639
ENSG00000229725,,,Y,q11.223,21871331,21873550
ENSG00000229236,HGNC:18491,TTTY10,Y,q11.223,20464916,20575519
ENSG00000229518,HGNC:23983,UBE2V1P3,Y,p11.2,3866306,3866722
ENSG00000232730,HGNC:16375,FAM8A4P,Y,q11.21,12321623,12322835
ENSG00000229308,,,Y,p11.2,4036497,4100320
ENSG00000224060,HGNC:720,ARSLP1,Y,q11.21,12339813,12347495
ENSG00000244000,,,Y,q11.223,23017063,23017821
ENSG00000232764,HGNC:38458,TRIM60P8Y,Y,q11.223,23025594,23026663
ENSG00000234830,HGNC:37477,FAM197Y9,Y,p11.2,6256267,6265595
ENSG00000230066,HGNC:37465,FAM197Y3,Y,p11.2,9497287,9506596
ENSG00000236131,HGNC:38733,MED13P1,Y,q11.221,14907898,14908068
ENSG00000270073,HGNC:34039,TSPY6P,Y,p11.2,9507596,9510175
ENSG00000227949,HGNC:23941,CYCSP46,Y,q11.221,14941547,14941750
ENSG00000252900,HGNC:47266,RNU6-303P,Y,p11.2,4174985,4175090
ENSG00000251766,HGNC:43418,RNA5SP518,Y,p11.2,10090410,10090528
ENSG00000252689,,,Y,q11.221,16138248,16138379
ENSG00000243980,HGNC:46718,RN7SL702P,Y,q11.21,12273473,12273764
ENSG00000252315,HGNC:43420,RNA5SP520,Y,q11.222,17557864,17557976
ENSG00000252012,HGNC:43421,RNA5SP521,Y,q11.222,17559774,17559889
ENSG00000273966,,,Y,q11.222,17568962,17569051
ENSG00000252173,HGNC:47072,RNU6-109P,Y,q11.221,16248935,16249041
ENSG00000251705,HGNC:41960,RNA5-8SP6,Y,p11.2,10200155,10200306
ENSG00000252289,HGNC:43419,RNA5SP519,Y,p11.2,10092875,10092993
ENSG00000252323,HGNC:47147,RNU6-184P,Y,q11.221,16336283,16336389
ENSG00000242153,HGNC:13657,OFD1P6Y,Y,q11.222,18674033,18739197
ENSG00000169953,HGNC:23950,HSFY2,Y,q11.222,18731440,18773735
ENSG00000236429,HGNC:38781,GPM6BP2,Y,q11.222,18741843,18741986
ENSG00000249501,HGNC:31742,USP9YP2,Y,q11.222,18776279,18779427
ENSG00000228193,HGNC:38150,ELOCP14,Y,q11.222,18787750,18788080
ENSG00000248573,HGNC:38786,PRYP6,Y,q11.222,18790709,18791051
ENSG00000230904,HGNC:23909,XKRYP2,Y,q11.222,18811338,18811829
ENSG00000238135,HGNC:38454,USP9YP10,Y,q11.222,18826107,18829487
ENSG00000224151,HGNC:38764,USP9YP28,Y,q11.222,18833002,18839313
ENSG00000251970,HGNC:48383,RNU1-41P,Y,q11.222,18833729,18833890
ENSG00000238088,HGNC:23879,OFD1P7Y,Y,q11.222,18848264,18867280
ENSG00000217179,HGNC:38807,MTCYBP2,Y,q11.222,18872102,18872272
ENSG00000217896,HGNC:38455,ZNF839P1,Y,q11.222,18985175,18986398
ENSG00000185275,HGNC:1649,CD24P4,Y,q11.222,18992467,18992709
ENSG00000252766,HGNC:47218,RNU6-255P,Y,q11.222,19018983,19019087
ENSG00000274282,,,Y,q11.222,19253960,19260875
ENSG00000234529,HGNC:23947,GAPDHP19,Y,q11.222,19327569,19328573
ENSG00000238191,HGNC:38416,CLUHP1,Y,q11.222,17621259,17625832
ENSG00000226353,HGNC:31743,TAF9P1,Y,q11.222,17628513,17629402
ENSG00000275578,,,Y,q11.222,17705968,17708185
ENSG00000226449,HGNC:23850,CDY5P,Y,q11.222,17721598,17723177
ENSG00000225896,HGNC:54973,ELOCP36,Y,q11.222,17726752,17727080
ENSG00000224166,HGNC:34018,PRYP1,Y,q11.222,17729528,17744596
ENSG00000229129,HGNC:147,ACTG1P2,Y,q11.222,17757001,17758125
ENSG00000250868,HGNC:18571,XKRY,Y,q11.222,17768980,17777400
ENSG00000223555,HGNC:38759,USP9YP23,Y,q11.222,17782210,17784815
ENSG00000235521,HGNC:38763,USP9YP27,Y,q11.222,17788315,17789484
ENSG00000252513,HGNC:48470,RNU1-128P,Y,q11.222,17789003,17789162
ENSG00000224964,HGNC:10712,TRAPPC2P3,Y,q11.222,17797983,17800696
ENSG00000226011,HGNC:23873,OFD1P1Y,Y,q11.222,17809807,17825329
ENSG00000225740,HGNC:38142,ELOCP6,Y,q11.222,17837201,17837528
ENSG00000229138,HGNC:23853,CDY6P,Y,q11.222,17882099,17883708
ENSG00000224485,HGNC:38079,USP9YP7,Y,q11.222,17908755,17910806
ENSG00000226116,HGNC:38078,USP9YP6,Y,q11.222,17912699,17921630
ENSG00000237558,HGNC:23854,CDY7P,Y,q11.222,17951589,17953500
ENSG00000233378,HGNC:38778,USP9YP34,Y,q11.222,17984349,17993260
ENSG00000237616,HGNC:38776,USP9YP32,Y,q11.222,17995201,17997252
ENSG00000224033,HGNC:23855,CDY8P,Y,q11.222,18022299,18023908
ENSG00000230412,HGNC:38148,ELOCP12,Y,q11.222,18068483,18068810
ENSG00000225895,HGNC:37731,TRAPPC2P8,Y,q11.222,18105314,18108102
ENSG00000233120,HGNC:38751,USP9YP15,Y,q11.222,18116527,18117695
ENSG00000252166,HGNC:48437,RNU1-95P,Y,q11.222,18116848,18117007
ENSG00000232744,HGNC:38752,USP9YP16,Y,q11.222,18121195,18123799
ENSG00000244646,HGNC:23922,XKRY2,Y,q11.222,18128610,18137029
ENSG00000229465,HGNC:37651,ACTG1P11,Y,q11.222,18147884,18149008
ENSG00000231311,HGNC:34019,PRYP2,Y,q11.222,18161366,18176484
ENSG00000236599,HGNC:38731,ELOCP26,Y,q11.222,18178932,18179260
ENSG00000232899,HGNC:23851,CDY9P,Y,q11.222,18182835,18184414
ENSG00000229302,HGNC:31744,TAF9P2,Y,q11.222,18276607,18277495
ENSG00000228945,HGNC:38453,CLUHP2,Y,q11.222,18280178,18284761
ENSG00000233522,HGNC:37736,FAM224A,Y,q11.222,18326253,18353210
ENSG00000278391,,,Y,q11.222,18336960,18337049
ENSG00000251953,HGNC:43422,RNA5SP522,Y,q11.222,18346123,18346238
ENSG00000252667,HGNC:43423,RNA5SP523,Y,q11.222,18348035,18348147
ENSG00000249726,HGNC:23982,TUBB1P1,Y,q11.222,18386974,18389151
ENSG00000282909,,,Y,q11.222,18389297,18405046
ENSG00000226362,HGNC:37135,FAM41AY2,Y,q11.222,18390994,18405046
ENSG00000225716,HGNC:38149,ELOCP13,Y,q11.222,18440797,18441125
ENSG00000229406,HGNC:23876,OFD1P4Y,Y,q11.222,18453150,18472137
ENSG00000227494,HGNC:38748,USP9YP14,Y,q11.222,18481087,18487400
ENSG00000252209,HGNC:48390,RNU1-48P,Y,q11.222,18486511,18486672
ENSG00000249634,HGNC:38418,USP9YP5,Y,q11.222,18490915,18494295
ENSG00000251510,,,Y,q11.222,18491740,18547698
ENSG00000238067,HGNC:23908,XKRYP1,Y,q11.222,18508577,18509068
ENSG00000233546,HGNC:38785,PRYP5,Y,q11.222,18529358,18529623
ENSG00000230377,HGNC:38143,ELOCP7,Y,q11.222,18532326,18532656
ENSG00000250951,HGNC:31741,USP9YP1,Y,q11.222,18540980,18544128
ENSG00000230458,HGNC:38782,GPM6BP1,Y,q11.222,18578417,18578560
ENSG00000131007,HGNC:32425,TTTY9B,Y,q11.222,18581206,18590521
ENSG00000235479,HGNC:38108,RAB9AP4,Y,q11.222,18649671,18650279
ENSG00000249606,HGNC:10716,TRAPPC2P7,Y,q11.222,18655520,18656190
ENSG00000176728,HGNC:18495,TTTY14,Y,q11.222,18772706,19077416
ENSG00000267793,,,Y,q11.222,19598188,19598757
ENSG00000260197,,,Y,q11.223,19691941,19694606
ENSG00000288049,,,Y,q11.223,19744756,19759978
ENSG00000012817,HGNC:11115,KDM5D,Y,q11.223,19703865,19744939
ENSG00000172468,HGNC:18568,HSFY1,Y,q11.222,18546691,18588963
ENSG00000176679,HGNC:18569,TGIF2LY,Y,p11.2,3579067,3580041
ENSG00000169800,HGNC:23974,RBMY1F,Y,q11.223,22168542,22182982
ENSG00000182415,HGNC:1810,CDY2A,Y,q11.222,18025787,18027746
ENSG00000233126,HGNC:37728,ZNF736P3Y,Y,q11.223,23049247,23051195
ENSG00000227251,HGNC:38459,TRIM60P9Y,Y,q11.223,23058030,23059186
ENSG00000099725,HGNC:9444,PRKY,Y,p11.2,7273972,7381548
ENSG00000252633,HGNC:46006,RN7SKP282,Y,p11.2,7324297,7324595
ENSG00000251996,,,Y,p11.2,7341531,7341642
ENSG00000252155,HGNC:47904,RNU6-941P,Y,p11.2,7378672,7378779
ENSG00000252472,HGNC:47484,RNU6-521P,Y,p11.2,7423054,7423158
ENSG00000224953,HGNC:38735,SRIP3,Y,p11.2,6718962,6719180
ENSG00000274365,,,Y,p11.2,6789153,6789344
ENSG00000233634,HGNC:38439,GOT2P5,Y,p11.2,6837707,6838252
ENSG00000237701,HGNC:23933,ATP5PFP1,Y,p11.2,6900753,6901372
ENSG00000273906,,,Y,p11.2,6918682,6920791
ENSG00000232976,HGNC:38462,TRIM60P10Y,Y,q11.23,24659337,24660406
ENSG00000226270,HGNC:37727,ZNF736P2Y,Y,q11.23,24683657,24684935
ENSG00000227837,HGNC:38463,TRIM60P11Y,Y,q11.23,24691791,24692932
ENSG00000278602,,,Y,q11.23,24977176,24978317
ENSG00000223978,HGNC:37726,ZNF736P1Y,Y,q11.23,24985201,24986476
ENSG00000278197,,,Y,q11.23,25009700,25010769
ENSG00000230819,HGNC:38597,ZNF736P5Y,Y,q11.23,25018499,25019303
ENSG00000185894,HGNC:18225,BPY2C,Y,q11.23,25030901,25062548
ENSG00000228296,HGNC:31892,TTTY4C,Y,q11.23,25063083,25099892
ENSG00000205916,HGNC:15966,DAZ4,Y,q11.23,24833843,24907040
ENSG00000129873,HGNC:23921,CDY2B,Y,q11.222,17878260,17880220
ENSG00000288686,HGNC:34022,XGY2,Y,p11.2,2752083,2854641
ENSG00000251841,HGNC:48297,RNU6-1334P,Y,p11.2,2784749,2784853
ENSG00000184895,HGNC:11311,SRY,Y,p11.2,2786855,2787682
ENSG00000237659,HGNC:24117,RNASEH2CP1,Y,p11.2,2789827,2790328
ENSG00000232195,HGNC:38737,TOMM22P2,Y,p11.2,2827982,2828218
ENSG00000286130,,,Y,p11.2,2828192,2840851
ENSG00000129824,HGNC:10425,RPS4Y1,Y,p11.2,2841602,2932000
ENSG00000227289,HGNC:37119,HSFY3P,Y,p11.2,2881683,2890551
ENSG00000229163,HGNC:38005,NAP1L1P2,Y,p11.2,2929001,2931120
ENSG00000278847,,,Y,p11.2,2934406,2934771
ENSG00000067646,HGNC:12870,ZFY,Y,p11.2,2935281,2982506
ENSG00000233070,HGNC:38798,ZFY-AS1,Y,p11.2,2966844,3002626
ENSG00000223600,HGNC:38799,EEF1A1P41,Y,p11.2,2995067,2995273
ENSG00000215414,HGNC:17460,PSMA6P1,Y,q11.221,13286638,13287378
ENSG00000224035,HGNC:10775,SFPQP1,Y,q11.221,13083790,13095805
ENSG00000235462,HGNC:37723,TAB3P1,Y,q11.221,13153931,13162214
ENSG00000223915,HGNC:38448,DPPA2P1,Y,q11.221,13230884,13231439
ENSG00000067048,HGNC:2699,DDX3Y,Y,q11.221,12904108,12920478
ENSG00000234059,HGNC:1498,CASKP1,Y,q11.221,12930165,12948182
ENSG00000183878,HGNC:12638,UTY,Y,q11.221,13234577,13480673
ENSG00000154620,HGNC:11882,TMSB4Y,Y,q11.221,13703899,13706024
ENSG00000241859,HGNC:6214,ANOS2P,Y,q11.221,13703902,13915824
ENSG00000129864,HGNC:12668,VCY,Y,q11.221,13985772,13986473
ENSG00000187191,HGNC:15965,DAZ3,Y,q11.23,24763069,24813492
ENSG00000188120,HGNC:2682,DAZ1,Y,q11.223,23129355,23199010
